prefecture,id,c_sum,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,population,point
横浜市,114103922,8302,77,31,8,38,648,330,269,14,35,563,516,47,131,76,55,925,469,180,276,3758300 ,22.08977463
川崎市,113120882,3687,23,7,3,13,230,116,94,6,14,200,183,17,29,14,15,367,167,66,134,1522098 ,24.22314463
横須賀市,44963442,750,8,7,0,1,77,30,42,1,4,45,35,10,15,8,7,72,30,16,26,394507 ,19.01106951
鎌倉市,45094514,255,3,2,0,1,33,15,14,0,4,20,18,2,6,2,4,26,8,8,10,177047 ,14.40295515
逗子市,45356658,79,0,0,0,0,9,7,2,0,0,6,6,0,3,2,1,12,4,4,4,59577 ,13.26015073
三浦市,45422194,102,0,0,0,0,20,5,12,0,3,3,3,0,2,0,2,25,15,6,4,42276 ,24.12716435
葉山町,46012018,41,0,0,0,0,3,1,2,0,0,5,3,2,3,3,0,4,0,2,2,32961 ,12.43894299
相模原市,113645170,1898,8,1,1,6,75,25,42,4,4,119,103,16,15,9,6,229,129,32,68,718219 ,26.42647995
厚木市,45553266,773,4,2,0,2,57,33,18,2,4,12,10,2,19,13,6,76,32,14,30,223604 ,34.57004347
大和市,45618802,721,5,4,0,1,43,20,20,0,3,64,60,4,3,2,1,61,35,13,13,241598 ,29.84296228
海老名市,45749874,403,0,0,0,0,20,10,8,2,0,13,12,1,7,6,1,32,17,5,10,136653 ,29.49075395
座間市,45815410,362,6,4,1,1,29,7,18,2,2,20,19,1,2,2,0,34,17,10,7,131758 ,27.47461255
綾瀬市,45946482,202,1,1,0,0,11,5,6,0,0,12,11,1,1,0,1,16,13,1,2,84619 ,23.8717073
愛川町,46798450,116,0,0,0,0,4,1,3,0,0,9,8,1,2,1,1,9,3,2,4,39763 ,29.17284913
清川町,46863986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2877 ,6.951685784
平塚市,45028978,711,4,0,0,4,36,14,16,3,3,24,21,3,27,24,3,96,43,26,27,256430 ,27.72686503
藤沢市,45160050,1040,9,3,5,1,71,29,37,3,2,76,72,4,12,5,7,103,53,23,27,440313 ,23.61956154
茅ヶ崎市,45291122,559,3,0,1,2,30,15,14,0,1,26,25,1,8,1,7,58,33,16,9,244377 ,22.8744931
秦野市,45487730,298,3,1,0,2,19,7,10,1,1,13,11,2,4,3,1,41,23,8,10,159968 ,18.62872575
伊勢原市,45684338,195,4,1,1,2,16,5,10,1,0,10,8,2,3,2,1,27,11,7,9,100063 ,19.48772273
寒川町,46077554,96,0,0,0,0,5,1,3,0,1,4,2,2,3,3,0,10,4,4,2,48973 ,19.60263819
大磯町,46143090,52,1,0,0,1,6,4,1,1,0,4,4,0,1,0,1,8,7,0,1,32620 ,15.9411404
二宮町,46208626,49,0,0,0,0,4,2,2,0,0,4,4,0,1,0,1,3,2,1,0,28255 ,17.34206335
小田原市,45225586,496,4,1,0,3,31,16,11,2,2,10,9,1,12,10,2,61,40,2,19,189091 ,26.23075662
南足柄市,45880946,72,1,0,0,1,2,2,0,0,0,7,6,1,0,0,0,8,4,2,2,41439 ,17.37493665
中井町,46274162,22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,2,0,9203 ,23.90524829
大井町,46339698,43,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,7,4,2,1,17302 ,24.85261819
松田町,46405234,16,0,0,0,0,4,2,1,0,1,0,0,0,0,0,0,2,2,0,0,10820 ,14.78743068
山北町,46470770,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,3,1,9906 ,29.27518676
開成町,46536306,48,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,8,5,2,1,18257 ,26.29128553
箱根町,46601842,24,0,0,0,0,4,0,4,0,0,3,3,0,1,1,0,4,4,0,0,11203 ,21.42283317
真鶴町,46667378,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7074 ,5.654509471
湯河原町,46732914,37,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,10,9,0,1,24362 ,15.18758723
